customer_id,signup_at,region,risk_band,credit_limit_usd,status,tax_id,dob,email,is_confirmed_fraud
1,2026-05-24,EU,B,3300,active,923-69-4249,1968-03-29,pulse2956625@inbox.example,0
2,2025-02-07,NA,B,2450,defaulted,988-36-8333,1997-12-27,atlas5416385@test.example,0
3,2025-12-13,NA,D,1350,defaulted,926-33-5634,1968-03-31,peak1338276@post.example,0
4,2026-01-06,NA,C,2600,active,964-34-8707,1972-08-16,coral3432214@mail.example,0
5,2026-01-25,EU,B,3350,active,933-22-4780,1963-01-13,vault496087@post.example,0
6,2026-01-20,APAC,B,4100,defaulted,971-04-5933,1995-05-03,coral3083449@post.example,0
7,2025-02-28,APAC,A,4400,active,985-52-9242,1978-09-03,vault6154185@inbox.example,0
8,2025-01-19,APAC,D,1350,defaulted,951-40-5999,1979-02-05,drift8199874@test.example,0
9,2025-10-05,EU,C,2150,active,980-61-0499,2001-07-24,atlas5314636@test.example,0
10,2026-04-09,EU,B,2850,active,986-71-1230,1979-01-19,flint865214@post.example,0
11,2025-11-04,NA,B,2200,defaulted,952-32-2280,1958-05-18,ember8769994@test.example,1
12,2026-02-11,EU,D,1300,defaulted,952-32-2280,1980-12-28,urban3643868@test.example,1
13,2025-04-30,NA,A,2800,defaulted,952-32-2280,2007-04-14,lumen3248440@post.example,0
14,2026-03-04,NA,A,4450,defaulted,952-32-2280,1992-08-07,drift6554413@mail.example,0
15,2026-05-12,EU,D,1350,defaulted,952-32-2280,1973-08-05,peak6438642@post.example,0
16,2025-12-31,NA,E,700,active,914-93-9729,2005-07-13,flint6401647@test.example,0
17,2025-11-09,EU,E,750,defaulted,938-52-7054,1973-12-14,coral2086273@mail.example,0
18,2025-05-04,NA,D,1550,active,991-87-7266,1993-08-02,atlas9643486@test.example,0
19,2025-01-05,EU,A,3950,active,981-27-1965,1991-07-15,coral5282899@test.example,0
20,2026-05-27,EU,B,3450,active,961-42-3713,2003-04-18,nova1200463@test.example,0
21,2026-04-01,EU,B,3250,active,968-10-2114,1954-03-12,pulse1260796@post.example,0
22,2025-01-28,NA,B,2450,active,951-71-1046,1954-07-06,atlas9482242@post.example,0
23,2025-03-30,EU,B,4000,active,941-78-1153,1994-04-26,drift6633515@inbox.example,0
24,2026-03-04,NA,A,4450,active,957-44-7836,1958-01-05,coral8625763@inbox.example,0
25,2025-05-17,EU,B,3400,active,979-61-0679,1989-01-06,quill69667@test.example,0
26,2025-08-28,APAC,C,1850,active,957-32-3912,1965-04-16,ember3373073@inbox.example,0
27,2025-09-20,NA,A,5150,active,971-39-2070,1997-11-14,pulse6591438@post.example,0
28,2025-09-27,LATAM,B,3700,active,937-36-4999,1971-10-30,atlas8620897@inbox.example,0
29,2025-09-19,EU,B,2300,active,913-95-0946,1957-05-11,pulse6801456@mail.example,0
30,2025-06-09,NA,B,3200,active,996-70-8731,2005-08-14,lumen8986190@mail.example,0
31,2025-09-02,NA,A,4650,active,987-28-5827,1956-09-29,atlas2557628@test.example,0
32,2025-03-04,LATAM,B,3850,active,938-93-4387,2000-09-14,nova611199@inbox.example,0
33,2026-01-26,LATAM,D,1150,active,933-96-7083,1993-08-28,flint1328089@post.example,0
34,2025-10-03,NA,B,3700,defaulted,995-83-9055,1954-03-15,coral4227768@mail.example,0
35,2025-10-05,APAC,C,1700,active,982-21-3869,1994-11-06,lumen8328441@test.example,0
36,2026-03-05,NA,E,500,defaulted,966-09-6683,2004-09-02,wren3432210@mail.example,0
37,2026-03-01,EU,A,3800,active,974-27-9275,1961-11-15,wren612879@inbox.example,0
38,2025-08-22,NA,D,1600,active,924-89-3479,1962-12-10,wren7927688@inbox.example,0
39,2025-10-02,NA,D,1050,active,965-37-3078,1991-05-10,peak7779190@post.example,0
40,2025-07-01,EU,C,2700,active,916-33-3508,1992-03-19,atlas767908@mail.example,0
41,2025-11-09,NA,C,1750,defaulted,976-70-3775,1970-12-29,drift4040605@test.example,0
42,2026-01-03,EU,C,2100,active,927-18-0926,1980-11-07,wren4595793@post.example,0
43,2025-01-20,NA,A,3750,active,985-72-7092,1990-01-26,cedar6854388@test.example,0
44,2025-12-30,APAC,A,4850,active,914-09-0852,1978-02-26,urban2639259@post.example,0
45,2025-07-28,EU,A,5550,defaulted,945-51-2608,1971-05-17,peak9061962@post.example,0
46,2026-01-07,NA,B,2850,active,955-63-6356,1987-10-14,nova1207261@inbox.example,0
47,2025-10-25,NA,B,2800,active,973-53-1256,1956-06-27,pulse9556604@post.example,0
48,2025-01-05,EU,A,4500,active,962-15-7689,1988-08-21,vault6838247@post.example,0
49,2025-09-08,APAC,C,1700,active,953-19-4421,2000-01-16,nova1275455@mail.example,0
50,2025-04-20,APAC,A,3450,active,966-48-4984,1964-09-07,pulse279651@post.example,0
51,2025-06-19,EU,C,1450,active,999-05-0258,1991-06-09,coral3166987@inbox.example,0
52,2025-10-14,NA,B,2250,active,998-79-3559,2006-04-16,wren2585181@inbox.example,0
53,2026-04-30,APAC,E,900,active,913-12-5363,1976-09-04,drift6954902@inbox.example,0
54,2025-07-27,NA,D,1200,active,921-57-7507,1993-09-30,urban4470128@mail.example,0
55,2026-05-09,EU,D,1600,active,986-74-5247,1996-12-23,pulse9914187@post.example,0
56,2025-02-19,NA,B,3050,active,935-33-2546,2002-10-21,coral8410800@post.example,0
57,2025-02-12,APAC,D,1500,defaulted,984-14-2565,1971-02-13,nova3527869@post.example,0
58,2025-11-12,APAC,B,3200,defaulted,974-64-0116,1953-03-02,atlas7836175@test.example,0
59,2025-04-24,EU,B,3350,active,974-16-6789,1963-12-08,cedar2496056@inbox.example,0
60,2025-03-14,NA,D,1000,defaulted,979-07-9148,1970-02-07,urban8712782@post.example,0
61,2026-01-08,APAC,C,2400,active,986-98-4688,1971-08-06,ember4028176@inbox.example,0
62,2025-01-19,APAC,C,1650,active,957-11-0178,1968-07-18,quill6173710@inbox.example,0
63,2025-09-19,APAC,A,3600,active,902-58-9886,1996-09-16,vault5232069@post.example,0
64,2025-02-24,APAC,C,2550,active,998-35-2740,1954-08-20,lumen8804622@inbox.example,0
65,2025-07-15,NA,C,2150,active,975-82-0090,1968-11-10,quill5747039@test.example,0
66,2025-12-11,EU,B,2300,active,917-84-4477,1951-11-15,pulse7734598@mail.example,0
67,2026-05-28,NA,B,2350,active,959-38-2050,2004-02-29,cedar2961533@test.example,0
68,2026-01-01,NA,D,1100,active,920-81-8640,1977-08-25,vault495614@test.example,0
69,2025-02-09,EU,D,1050,active,985-60-6701,1980-11-06,nova9105320@inbox.example,0
70,2026-02-17,NA,D,850,active,900-11-4512,1989-10-25,coral773464@test.example,0
71,2025-10-06,EU,B,3300,active,972-67-3844,1981-06-13,cedar2793157@inbox.example,0
72,2025-05-23,EU,A,3650,active,966-46-4910,1962-10-01,peak1346605@inbox.example,0
73,2025-05-24,NA,B,3700,active,921-88-5237,1993-10-14,nova9306039@test.example,0
74,2026-01-04,EU,D,850,active,915-55-5296,1969-07-30,lumen2084956@mail.example,0
75,2025-12-20,APAC,C,1700,active,998-53-4549,1976-09-14,lumen8170769@inbox.example,0
76,2025-06-28,EU,A,3450,active,949-63-3499,1962-04-03,wren8877918@post.example,0
77,2025-06-12,LATAM,B,3550,active,985-86-8414,1961-06-07,ember8433502@post.example,0
78,2025-03-14,EU,B,3350,active,947-91-1289,1968-08-03,pulse9330168@post.example,0
79,2025-06-18,NA,D,850,defaulted,951-82-2293,1979-05-21,ember1913662@inbox.example,0
80,2026-01-08,NA,B,3050,active,973-42-3212,1988-05-29,peak3875282@mail.example,0
81,2026-01-18,LATAM,D,1250,active,973-17-0103,2006-12-07,vault4137871@inbox.example,0
82,2025-03-28,NA,B,4150,active,902-83-0324,1977-09-26,cedar4207870@test.example,0
83,2025-08-11,NA,C,2250,active,945-89-0088,1979-06-11,urban7190531@test.example,0
84,2025-05-02,EU,B,2300,active,959-46-8544,2005-11-14,pulse5428293@mail.example,0
85,2025-07-02,NA,A,2900,active,946-20-3464,1973-11-24,drift3589942@post.example,0
86,2025-09-02,APAC,A,5100,active,948-99-7905,1982-08-09,ember2672551@post.example,0
87,2026-05-26,EU,E,500,active,984-01-9283,1980-06-18,atlas6759062@inbox.example,0
88,2025-01-03,LATAM,B,2200,active,925-66-2189,2004-11-16,vault8336988@inbox.example,0
89,2025-09-06,APAC,B,2850,active,960-79-9230,1972-03-08,wren8054725@post.example,0
90,2026-01-27,EU,C,2200,active,950-14-9819,1962-12-01,urban1511341@inbox.example,0
91,2025-03-23,APAC,D,850,active,956-46-6875,1953-04-20,drift438800@inbox.example,0
92,2025-08-26,NA,D,900,active,971-09-9584,1977-05-15,vault3506014@inbox.example,0
93,2025-03-13,EU,A,2900,active,967-55-7134,1960-06-29,coral3429855@post.example,0
94,2025-12-17,LATAM,A,3350,active,904-03-2011,1959-11-10,peak564539@inbox.example,0
95,2025-09-25,NA,C,2050,active,944-66-4602,1970-04-03,lumen6559396@mail.example,0
96,2025-08-08,APAC,D,1450,active,928-95-6114,1953-04-09,urban9616041@post.example,0
97,2025-05-14,NA,C,2200,active,913-11-8942,1956-01-08,peak2240076@inbox.example,0
98,2026-02-08,LATAM,C,1550,active,992-98-3462,1996-12-07,lumen8694641@test.example,0
99,2025-09-12,APAC,E,750,active,997-15-0458,1951-11-16,cedar5207678@post.example,0
100,2025-03-29,NA,B,2950,defaulted,998-98-3772,1995-09-10,quill6262874@post.example,0
101,2025-09-13,APAC,D,1050,defaulted,914-88-3814,1987-02-03,ember9962243@inbox.example,0
102,2025-03-13,NA,C,2300,active,974-08-9068,1979-11-11,urban3813585@mail.example,0
103,2026-04-22,NA,B,2650,active,939-25-4458,2005-11-02,lumen3682585@post.example,0
104,2025-08-18,EU,A,5200,active,988-26-2509,1986-01-10,quill975366@inbox.example,0
105,2025-12-19,EU,B,3700,active,977-16-8904,2006-04-30,urban7755214@post.example,0
106,2025-10-07,EU,B,3850,active,928-50-8186,1979-11-09,atlas6561339@test.example,0
107,2026-01-20,APAC,B,3200,active,987-44-3253,2000-09-06,atlas314963@inbox.example,0
108,2025-12-10,NA,B,3500,active,984-03-1201,1968-12-01,atlas4533850@post.example,0
109,2025-12-20,EU,C,2300,defaulted,984-67-2222,1966-12-19,pulse6219581@post.example,0
110,2025-01-26,NA,A,4050,active,954-23-1391,1967-12-24,cedar8962624@mail.example,0
111,2026-04-23,LATAM,B,3050,defaulted,970-78-9336,1987-01-10,wren5340882@inbox.example,0
112,2025-01-07,APAC,C,1450,defaulted,993-40-4552,1975-11-22,urban4360124@mail.example,0
113,2025-01-24,NA,B,2450,defaulted,962-48-1951,1988-10-03,peak9775427@mail.example,0
114,2025-12-09,NA,C,2000,active,931-08-0587,1985-12-13,nova734589@post.example,0
115,2025-08-11,APAC,A,5000,active,973-54-3822,1953-06-17,lumen681846@inbox.example,0
116,2026-02-17,APAC,A,4250,active,980-64-1609,1982-08-31,drift3861166@post.example,0
117,2026-01-11,NA,B,2700,active,915-69-5309,1993-07-31,lumen1551664@inbox.example,0
118,2025-02-01,EU,C,1700,active,956-11-8568,1986-07-31,quill624754@test.example,0
119,2025-01-11,NA,C,2500,active,928-73-9210,1994-11-05,lumen8934425@mail.example,0
120,2025-12-26,EU,D,1500,active,983-50-5699,1988-09-18,vault7998615@inbox.example,0
121,2025-11-05,NA,B,2150,active,999-67-3318,1963-08-19,peak4135910@post.example,0
122,2026-03-20,EU,B,3100,active,983-17-3159,1962-07-31,quill5308662@mail.example,0
123,2025-08-01,EU,C,1700,active,947-45-5186,1958-01-18,vault8663160@post.example,0
124,2025-07-24,APAC,D,950,active,995-57-6497,1995-10-29,drift7176173@mail.example,0
125,2025-02-09,LATAM,D,1500,active,989-33-6741,1970-10-18,nova4738786@inbox.example,0
126,2025-09-16,EU,C,1900,active,999-75-1313,1982-07-26,pulse5172277@mail.example,0
127,2025-08-25,EU,C,1400,active,934-95-6426,1960-11-27,atlas6961887@post.example,0
128,2025-05-31,EU,B,2150,active,956-32-7843,2001-09-07,ember1428794@test.example,0
129,2025-02-09,APAC,C,1650,defaulted,961-73-9932,2005-11-27,vault7021781@inbox.example,0
130,2026-03-18,EU,E,650,active,931-49-5183,1973-05-04,nova6349877@post.example,0
131,2025-03-15,NA,A,4950,active,912-51-5087,1970-10-09,lumen1719190@test.example,0
132,2025-07-18,LATAM,D,1300,defaulted,983-66-1360,1994-05-08,nova9837116@test.example,0
133,2025-08-04,NA,D,1100,active,967-24-9549,1989-07-13,quill6914458@post.example,0
134,2025-02-25,APAC,A,2950,active,976-31-8088,1995-05-14,atlas9133299@mail.example,0
135,2025-06-06,LATAM,C,1500,active,995-08-2807,1997-10-13,urban7939740@post.example,0
136,2026-01-30,APAC,B,3700,active,995-77-1181,1994-01-13,vault3164163@inbox.example,0
137,2026-04-20,NA,B,2200,active,915-94-5327,2007-07-30,ember720747@inbox.example,0
138,2025-08-01,LATAM,D,1050,active,974-71-1837,2001-10-09,coral6321173@inbox.example,0
139,2025-04-07,NA,B,2350,defaulted,912-74-7058,1993-06-12,coral5158307@mail.example,0
140,2026-02-16,NA,D,1000,active,961-14-6610,1960-06-19,atlas5078417@inbox.example,0
141,2026-03-05,APAC,C,1950,active,927-72-8031,1953-06-05,nova6425318@test.example,0
142,2025-10-21,LATAM,B,3800,defaulted,934-29-0413,2004-07-04,flint1223112@test.example,0
143,2025-10-24,NA,A,4600,active,953-32-9317,1953-06-23,pulse9863086@inbox.example,0
144,2025-03-12,NA,C,2500,active,952-09-8655,1982-10-29,flint353996@mail.example,0
145,2025-04-02,EU,C,2050,defaulted,908-68-8539,1987-03-24,quill9882618@mail.example,0
146,2026-03-24,NA,B,3550,active,925-76-3128,1953-05-17,atlas669174@post.example,0
147,2025-04-28,APAC,A,4850,active,973-93-5602,1983-06-23,quill7232104@mail.example,0
