merchant_id,name,category,region,mdr_bps,onboarded_at,owner_tax_id,owner_dob,owner_email,business_card_fingerprint
1,Lumen Outlet,Fashion,EU,450,2025-08-02,900-53-2763,1970-12-13,cedar5005543@mail.example,2a8454501c7ea00b
2,Coral Supply,Fashion,NA,450,2025-02-10,960-46-1622,1989-09-28,flint7153923@post.example,8e00e8a3e86edef9
3,Coral Studio,Fashion,APAC,500,2024-10-16,983-72-4040,1977-08-27,flint2259333@inbox.example,e9aa6ae0f9ef0a6e
4,Bright Studio,Fashion,APAC,550,2025-04-26,941-96-4924,1981-08-21,ember1822542@mail.example,4a6e73e7db58f629
5,Peak Works,Fashion,EU,300,2025-05-29,947-20-8981,1985-02-02,ember7791000@post.example,52e27cfe31ff0c33
6,Cedar Works,Fashion,APAC,350,2025-07-12,951-71-5746,2000-12-31,coral3979242@mail.example,eba31470cf0abdb2
7,Lumen Supply,Fashion,NA,450,2025-05-13,952-32-2280,1967-04-09,vault1664631@post.example,9148f0489ed752c5
8,Cedar Works,Fashion,APAC,600,2025-08-07,905-54-5942,1993-05-01,pulse4946716@inbox.example,ea7364e824ece35a
9,Cedar Labs,Fashion,NA,300,2025-05-31,976-91-3086,1991-06-09,wren2191206@mail.example,1deba23841063b7d
10,Urban Co,Fashion,NA,600,2025-07-14,969-18-3657,1956-12-08,coral7945121@post.example,a6c5d916e90f6b43
11,Vivid Labs,Electronics,EU,450,2025-02-11,903-05-3946,1993-08-16,coral5910607@mail.example,5ec595ef442a6476
12,Loop Labs,Electronics,EU,300,2025-05-27,977-20-3011,1982-11-07,urban1194901@mail.example,577e1a34d107f451
13,Lumen Mart,Electronics,NA,250,2024-11-28,953-80-6510,1998-10-18,peak5702096@inbox.example,f3d24fbd8f616330
14,Quill Goods,Electronics,NA,450,2024-12-29,909-70-0872,1974-09-18,coral94250@post.example,ee79924757eb84e8
15,Ember Studio,Electronics,NA,500,2024-06-21,985-25-8656,1992-03-15,pulse9275047@post.example,26a135c72df9896a
16,Pulse Co,Electronics,EU,350,2025-04-02,956-62-5121,1987-07-05,lumen9331476@mail.example,d2158ef1917db0a3
17,Coral Outlet,Electronics,APAC,500,2025-07-16,976-28-9508,1961-07-23,drift8358646@test.example,d44c1be01282288b
18,Atlas Depot,Electronics,LATAM,300,2024-08-23,953-65-1487,1993-08-17,vault6807608@inbox.example,e798fd91cf69d90b
19,Lumen Mart,Electronics,APAC,500,2025-07-14,953-93-0511,1991-06-21,ember3160092@post.example,658ec4bf63bed7f7
20,Atlas Works,Electronics,EU,300,2025-02-10,946-12-8748,2001-09-21,nova7801488@inbox.example,2a80c8f7d7e456f9
21,Cedar Store,Travel,NA,500,2025-04-23,906-90-5785,1989-04-12,vault3067040@test.example,6afdaac56914b242
22,Urban Depot,Travel,APAC,550,2025-02-16,932-88-9912,1964-09-29,nova9661193@test.example,b66517edec5b0ef4
23,Loop Collective,Travel,NA,400,2025-12-11,946-21-3202,1975-01-28,urban4510394@test.example,ce06daa0a34ff9a9
24,Cedar Co,Travel,EU,550,2024-12-27,983-92-4670,1974-05-03,ember7156028@mail.example,669860dfe764bab3
25,Urban Goods,Travel,EU,250,2025-09-09,968-85-3451,1963-08-12,quill8087594@inbox.example,7db29d6dc8bfae80
26,Nova Supply,Travel,EU,350,2025-07-19,950-11-7456,1959-04-02,vault1933326@mail.example,58b8ffa4ea630530
